site,ENVIRONMENT,SOCIOECONOMIC,CHRONOLOGY,USI,elevation,species,part,sex,age,carbon,oxygen,nitrogen
Kent,A - SEMI-ARID STEPPE,URBAN,BRONZE AGE,5571,925,sheep,tooth,,AT,-9.5,-9.2,
Kent ,A - SEMI-ARID STEPPE,URBAN,BRONZE AGE,5572,925,sheep,tooth,,FG,-9.4,-9.3,
Kent ,A - SEMI-ARID STEPPE,URBAN,BRONZE AGE,5573,925,sheep,tooth,,AT,-8.7,-7.3,
Kent ,A - SEMI-ARID STEPPE,URBAN,BRONZE AGE,5574,925,sheep,tooth,,AT,-10.1,-8.5,
Kent ,A - SEMI-ARID STEPPE,URBAN,BRONZE AGE,5575,925,sheep,tooth,,AT,-8.3,-9.4,
Kent ,A - SEMI-ARID STEPPE,URBAN,BRONZE AGE,5576,925,sheep,tooth,,AT,-9.6,-7.3,
Kent ,A - SEMI-ARID STEPPE,URBAN,BRONZE AGE,5577,925,sheep,tooth,,O,-9.2,-5.6,
Kent ,A - SEMI-ARID STEPPE,URBAN,BRONZE AGE,5578,925,sheep,tooth,,FG,-9.7,-8.5,
Kent ,A - SEMI-ARID STEPPE,URBAN,BRONZE AGE,5579,925,sheep,tooth,,FG,-9.9,-9.3,
Kent ,A - SEMI-ARID STEPPE,URBAN,BRONZE AGE,5580,925,sheep,tooth,,AT,-9.3,-6.9,
Turgen,E - ARID/MOUNTAIN STEPPE,NOMADIC,BRONZE AGE,5581,1900,sheep,tooth,,AT,-8,-4.7,
Turgen,E - ARID/MOUNTAIN STEPPE,NOMADIC,BRONZE AGE,5582,1900,sheep,tooth,,O,-11,-7.1,
Turgen,E - ARID/MOUNTAIN STEPPE,NOMADIC,BRONZE AGE,5583,1900,sheep,tooth,,FG,-10.3,-6,
Turgen,E - ARID/MOUNTAIN STEPPE,NOMADIC,BRONZE AGE,5584,1900,sheep,tooth,,AT,-10.5,-6.2,
Turgen,E - ARID/MOUNTAIN STEPPE,NOMADIC,IRON AGE,5586,1900,sheep,tooth,,AT,-5.9,-7.7,
